ID,Gene_name
X7905060, FCGR1A 
X7905067, HIST1H4I 
X7905077,
X7905079, HIST2H2AA4 
X7905085, HIST2H3A 
X7905088, HIST2H2AC 
X7905092, BOLA1 
X7905099, VPS45 
X7905116, PLEKHO1 
X7905127, RN7SL480P 
X7905129, RNU2-17P 
X7905131, CA14 
X7905145,
X7905147, C1orf54 
X7905154, CIART 
X7905163, MRPS21 
X7905171, PRPF3 
X7905185, RPRD2 
X7905198, TARS2 
X7905220, ECM1 
X7905233, ADAMTSL4 
X7905254, RNU6-1042P 
X7905256, CYCSP51 
X7905258, SETDB1 
X7905283, ANXA9 
X7905299, PRUNE 
X7905308, BNIPL 
X7905324, C1orf56 
X7905329, MLLT11 
X7905339, GABPB2 
X7905349, TNFAIP8L2 
X7905355, TNFAIP8L2-SCNM1 
X7905365, PIP5K1A 
X7905374, PSMD4 
X7905382, ZNF687 
X7905395, PSMB4 
X7905406, CGN 
X7905428, TUFT1 
X7905444, SNX27 
X7905462, RNU6-1062P 
X7905464, RIIAD1 
X7905474, OAZ3 
X7905481, HMGN3P1 
X7905483, LCE5A 
X7905486, CRCT1 
X7905490, LCE3C 
X7905492, LCE3B 
X7905496, LINC00302 
X7905500, LCE2D 
X7905503, LCE2C 
X7905505, LCE2B 
X7905507, LCE2A 
X7905510, LCE4A 
X7905512, C1orf68 
X7905515, KPRP 
X7905517, LCE1F 
X7905519, LCE1E 
X7905523, LCE1D 
X7905525, LCE1B 
X7905528, LCE1A 
X7905530, SMCP 
X7905533, IVL 
X7905536, SPRR4 
X7905544, SPRR1A 
X7905548, SPRR3 
X7905553, SPRR1B 
X7905559, LELP1 
X7905563, LOR 
X7905569, RNU6-160P 
X7905571, S100A9 
X7905576, S100A7A 
X7905581, S100A1 
X7905589, CHTOP 
X7905598, SNAPIN 
X7905606, NPR1 
X7905629, RN7SL372P 
X7905631, INTS3 
X7905664, SLC27A3 
X7905677, CREB3L4 
X7905691, RPS27 
X7905698,
X7905700, UBAP2L 
X7905731, UBAP2L 
X7905733, HAX1 
X7905742, RNU6-239P 
X7905744, RNU6-121P 
X7905746, AQP10 
X7905754, ATP8B2 
X7905789, IL6R 
X7905801, TDRD10 
X7905817, CHRNB2 
X7905826, CKS1B 
X7905831, FLAD1 
X7905848, LENEP 
X7905854, ZBTB7B 
X7905862, DCST1 
X7905881, ADAM15 
X7905909, EFNA4 
X7905918, EFNA3 
X7905927,
X7905929, EFNA1 
X7905938, SLC50A1 
X7905949, HMGN2P18 
X7905951, TRIM46 
X7905968, MTX1 
X7905974, HCN3 
X7905986, FDPS 
X7905999, RUSC1 
X7906015, RNU6-1297P 
X7906017, POU5F1P4 
X7906021, MSTO1 
X7906041, DAP3 
X7906056, MSTO1 
X7906061, SYT11 
X7906069, RXFP4 
X7906072, LAMTOR2 
X7906079, RAB25 
X7906085, LMNA 
X7906107, SEMA4A 
X7906128, SLC25A44 
X7906133, PMF1 
X7906140, BGLAP 
X7906146, TMEM79 
X7906154, TSACC 
X7906163, RHBG 
X7906175,
X7906177, TTC24 
X7906185, APOA1BP 
X7906194, GPATCH4 
X7906197, HAPLN2 
X7906205, BCAN 
X7906223, RRNAD1 
X7906233,
X7906235, PRCC 
X7906244, NTRK1 
X7906264, PEAR1 
X7906284, LRRC71 
X7906303,
X7906305, MRPS21P2 
X7906307, KIRREL 
X7906330, CD1D 
X7906339, CD1A 
X7906348, CD1C 
X7906355, CD1E 
X7906365, OR10K1 
X7906367, OR10R2 
X7906370, OR10R3P 
X7906372, OR10Z1 
X7906374, OR6K6 
X7906377, MNDA 
X7906386, PYHIN1 
X7906400, IFI16 
X7906417, CADM3 
X7906433, RNA5SP60 
X7906435, ACKR1 
X7906443, FCER1A 
X7906452, OR10J1 
X7906458, APCS 
X7906465, OR10J6P 
X7906467,
X7906469, DUSP23 
X7906475, FCRL6 
X7906486, SLAMF8 
X7906496, KCNJ9 
X7906501, ATP1A2 
X7906527, ATP1A4 
X7906552, CASQ1 
X7906564, PEA15 
X7906574, SUMO1P3 
X7906576, NCSTN 
X7906597, NHLH1 
X7906602, VANGL2 
X7906613, SLAMF7 
X7906622, LY9 
X7906642, KLHDC9 
X7906652, NIT1 
X7906662, UFC1 
X7906671, USP21 
X7906688, PPOX 
X7906703, NDUFS2 
X7906720, FCER1G 
X7906728, TOMM40L 
X7906742, PCP4L1 
X7906746, SDHC 
X7906751, RNU6-481P 
X7906753,
X7906757, FCGR2A 
X7906764, HSPA6 
X7906767, FCGR2B 
X7906775, HSPA6 
X7906777, FCGR2B 
X7906784,
X7906786, FCRLA 
X7906797, FCRLB 
X7906808, RN7SL466P 
X7906810, DUSP12 
X7906819, ATF6 
X7906838, NOS1AP 
X7906852, UHMK1 
X7906863, UAP1 
X7906878, DDR2 
X7906898, RN7SL861P 
X7906900, DDR2 
X7906904, HSD17B7P2 
X7906919, RGS4 
X7906930, NUF2 
X7906948, RNA5SP63 
X7906950,
X7906952, RNU5F-6P 
X7906954, PBX1 
X7906969, RNU6-171P 
X7906973, LRRC52 
X7906978, MGST3 
X7906988, LOC440700 
X7906993,
X7906995, UCK2 
X7907008, RNA5SP64 
X7907010, FMO8P 
X7907012, FMO9P 
X7907024, POGK 
X7907032, MAEL 
X7907049, RNA5SP65 
X7907051,
X7907053, DUSP27 
X7907058, POU2F1 
X7907079, RCSD1 
X7907090, LOC100128751 
X7907092, MPZL1 
X7907104, DCAF6 
X7907124, TIPRL 
X7907135, SFT2D2 
X7907146, TBX19 
X7907156, XCL1 
X7907160, ATP1B1 
X7907171, BLZF1 
X7907183, C1orf112 
X7907211, RN7SL333P 
X7907213, GORAB 
X7907222, PRRX1 
X7907232, MROH9 
X7907249, FMO3 
X7907260, FMO6P 
X7907271, FMO2 
X7907286, FMO1 
X7907297, FMO4 
X7907308,
X7907310, PRRC2C 
X7907349, RN7SL425P 
X7907351,
X7907353, METTL13 
X7907368,
X7907370, DNM3 
X7907394, RNU6-157P 
X7907396, C1orf105 
X7907404, SUCO 
X7907430, FASLG 
X7907439, PRDX6 
X7907445, KLHL20 
X7907462, RN7SKP160 
X7907464,
X7907466, DARS2 
X7907486, ZBTB37 
X7907492, RABGAP1L 
X7907531, GPR52 
X7907535, RNU6-307P 
X7907537, CACYBP 
X7907549, TNN 
X7907568, LOC101928751 
X7907572, PAPPA2 
X7907601, BRINP2 
X7907611, RASAL2 
X7907633, TEX35 
X7907649, C1orf220 
X7907655, RNA5SP69 
X7907657, RALGPS2 
X7907680, FAM20B 
X7907690, TOR3A 
X7907700,
X7907702, SOAT1 
X7907719, AXDND1 
X7907747, RNU5F-2P 
X7907749, TDRD5 
X7907769, FAM163A 
X7907773, TOR1AIP1 
X7907788, RN7SL230P 
X7907790, CEP350 
X7907830, QSOX1 
X7907847, LOC100506242 
X7907849, LHX4 
X7907859, VDAC1P4 
X7907861, XPR1 
X7907882, KIAA1614 
X7907893, MR1 
X7907904, IER5 
X7907907, GM140 
X7907911, CACNA1E 
X7907960,
X7907962,
X7907964,
X7907966, RNA5SP70 
X7907968, RNU6-152P 
X7907970,
X7907972, LINC00272 
X7907977, RGSL1 
X7907986, RGSL1 
X7908003, NPL 
X7908022, DHX9 
X7908041, LAMC1 
X7908072, LAMC2 
X7908097, SMG7 
X7908125, RGL1 
X7908147, TSEN15 
X7908155,
X7908157, RN7SL654P 
X7908159,
X7908161, C1orf21 
X7908169, RNF2 
X7908178, SWT1 
X7908204, HMCN1 
X7908312, PRG4 
X7908328,
X7908330, C1orf27 
X7908347, OCLM 
X7908351, PLA2G4A 
X7908371, ERVMER61-1 
X7908376, RGS18 
X7908382, RGS21 
X7908388, RGS1 
X7908397, RGS13 
X7908407, RPS27A 
X7908409, RGS2 
X7908421, TROVE2 
X7908437, CDC73 
X7908459, CFH 
X7908481, CFHR3 
X7908488, CFHR1 
X7908492, CFHR4 
X7908496, CFHR2 
X7908499, CFHR5 
X7908508, CRB1 
X7908525, C1orf53 
X7908529, LHX9 
X7908543, NEK7 
X7908553, PTPRC 
X7908591,
X7908593,
X7908595, RNU6-778P 
X7908597, NR5A2 
X7908610, RNU6-570P 
X7908612, FAM58BP 
X7908614, CAMSAP2 
X7908635, RPL34P6 
X7908637, GPR25 
X7908639, C1orf106 
X7908650, IGFN1 
X7908672, PKP1 
X7908692, RPS10P7 
X7908694, NAV1 
X7908728,
X7908730, RNU6-501P 
X7908732, IPO9 
X7908758, SHISA4 
